GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
Zm00001eb053220	Protein NRT1_ PTR FAMILY 2.9	OS03G0687000 PROTEIN (PTHR11654:SF589)	transporter(PC00227)			
Zm00001eb304640	Malate dehydrogenase	"MALATE DEHYDROGENASE 3, CYTOPLASMIC (PTHR23382:SF19)"	dehydrogenase(PC00092)	"catalytic activity(GO:0003824);oxidoreductase activity(GO:0016491);malate dehydrogenase activity(GO:0016615);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);L-malate dehydrogenase (NAD+) activity(GO:0030060)"	tricarboxylic acid cycle(GO:0006099);oxaloacetate metabolic process(GO:0006107);malate metabolic process(GO:0006108);NAD+ metabolic process(GO:0019674)	
Zm00001eb401800	CTC-interacting domain 7	"ATAXIN-2 C-TERMINAL REGION FAMILY PROTEIN, EXPRESSED (PTHR46651:SF2)"				
Zm00001eb334190	Uncharacterized protein					
Zm00001eb325840	Uncharacterized protein					
Zm00001eb110750	Histone H2B.1	HISTONE H2B.4 (PTHR23428:SF72)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	chromatin organization(GO:0006325)	nucleosome(GO:0000786);nucleus(GO:0005634)
Zm00001eb257570	PAP fibrillin family protein	"PLASTID-LIPID-ASSOCIATED PROTEIN 11, CHLOROPLASTIC-RELATED (PTHR31906:SF3)"				plastid(GO:0009536)
Zm00001eb060540	Actin-7			nucleotide binding(GO:0000166);ATP binding(GO:0005524);hydrolase activity(GO:0016787)		cytoskeleton(GO:0005856)
Zm00001eb276320	Serinc-domain containing serine and sphingolipid biosynthesis protein					membrane(GO:0016020)
Zm00001eb143880	Lipoprotein					
Zm00001eb336660	NEP-interacting protein 1	OS01G0170500 PROTEIN (PTHR31589:SF228)				
Zm00001eb219400	FRIGIDA-like protein	FRIGIDA-LIKE PROTEIN (PTHR31791:SF80)			flower development(GO:0009908);cell differentiation(GO:0030154)	
Zm00001eb369580	Uncharacterized protein	3-HYDROXYBUTYRYL-COA DEHYDROGENASE (PTHR48075:SF5)	dehydrogenase(PC00092)	"catalytic activity(GO:0003824);enoyl-CoA hydratase activity(GO:0004300);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616);NAD+ binding(GO:0070403)"	fatty acid metabolic process(GO:0006631);monocarboxylic acid metabolic process(GO:0032787)	
Zm00001eb003810	Condensin complex subunit 1 C-terminal domain-containing protein	MAESTRO HEAT-LIKE REPEAT FAMILY MEMBER 1 (PTHR23120:SF0)				cytoplasm(GO:0005737)
Zm00001eb083650	Uncharacterized protein	PROTEIN GL2-INTERACTING REPRESSOR 1 (PTHR33177:SF74)				
Zm00001eb253490	RING-H2 finger protein ATL56	RING-H2 FINGER PROTEIN ATL56 (PTHR45676:SF50)		zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	protein ubiquitination(GO:0016567)	membrane(GO:0016020)
Zm00001eb373640	Uncharacterized protein			structural molecule activity(GO:0005198)	"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum(GO:0006890);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192)"	Golgi membrane(GO:0000139);COPI-coated vesicle membrane(GO:0030663);cytoplasmic vesicle(GO:0031410)
Zm00001eb422640	Protein disulfide isomerase	PROTEIN DISULFIDE-ISOMERASE 5-2 (PTHR18929:SF218)	chaperone(PC00072)	protein disulfide isomerase activity(GO:0003756);isomerase activity(GO:0016853)	protein folding(GO:0006457);response to endoplasmic reticulum stress(GO:0034976)	endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
Zm00001eb180990	Uncharacterized protein					
Zm00001eb238990	IBB domain-containing protein					
Zm00001eb036220	UDP-glucuronate 4-epimerase 1	UDP-GLUCURONATE 4-EPIMERASE 6 (PTHR43574:SF28)	epimerase/racemase(PC00096)	isomerase activity(GO:0016853);racemase and epimerase activity(GO:0016854);UDP-glucuronate 4-epimerase activity(GO:0050378)	galacturonate biosynthetic process(GO:0033481)	Golgi cisterna membrane(GO:0032580)
Zm00001eb257730	Uncharacterized protein	PUTRESCINE HYDROXYCINNAMOYLTRANSFERASE 1 (PTHR31642:SF138)	acetyltransferase(PC00038)	"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);hydroxycinnamoyltransferase activity(GO:0050734)"		
Zm00001eb299000	Vacuole membrane protein KMS1	VACUOLE MEMBRANE PROTEIN KMS1 (PTHR34965:SF2)				
Zm00001eb142540	Auxin response factor	AUXIN RESPONSE FACTOR 4 (PTHR31384:SF72)		transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355);response to hormone(GO:0009725);auxin-activated signaling pathway(GO:0009734)	nucleus(GO:0005634)
Zm00001eb428940	C2H2-type domain-containing protein	OS04G0566400 PROTEIN (PTHR10593:SF127)	non-receptor serine/threonine protein kinase(PC00167)	DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb220530	Uncharacterized protein					
Zm00001eb318500	Transcription factor (Fragment)	TRANSCRIPTION FACTOR (PTHR11514:SF115)		transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb215920	Histone H2A	HISTONE H2AXB-RELATED (PTHR23430:SF407)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	heterochromatin formation(GO:0031507)	nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb308750	Uncharacterized protein					
Zm00001eb358780	Putative cytochrome P450 superfamily protein	CYTOCHROME P450 MONOOXYGENASE (PTHR24282:SF268)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	brassinosteroid homeostasis(GO:0010268);brassinosteroid metabolic process(GO:0016131)	membrane(GO:0016020)
Zm00001eb079370	Uncharacterized protein					
Zm00001eb349740	Uncharacterized protein					
Zm00001eb135940	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR47973:SF17)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		membrane(GO:0016020)
