gene_ID,Chr,start,Gene_name,Embryo_16_DAP,Embryo_18_DAP,Embryo_20_DAP,Embryo_22_DAP,Embryo_24_DAP,Endosperm_12_DAP,Endosperm_14_DAP,Endosperm_16_DAP,Endosperm_18_DAP,Endosperm_20_DAP,Endosperm_22_DAP,Endosperm_24_DAP,Whole_seed_10_DAP,Whole_seed_12_DAP,Whole_seed_14_DAP,Whole_seed_16_DAP,Whole_seed_18_DAP,Whole_seed_2_DAP,Whole_seed_20_DAP,Whole_seed_22_DAP,Whole_seed_24_DAP,Whole_seed_4_DAP,Whole_seed_6_DAP,Whole_seed_8_DAP,mean_expr,max_expr,nonzero_prop
Zm00001eb134340,3,109183681,Glycine-rich RNA binding protein (Fragment),2000.843333,482.434,359.0256667,294.0503333,390.7326667,494.369,351.862,977.3543333,234.551,212.9073333,208.0383333,167.4596667,261.043,340.3153333,340.6355,310.387,234.16875,226.83,195.6316667,194.8573333,182.463,257.7686667,198.037,184.8316667,379.1915243,2000.843333,1
Zm00001eb138660,3,140246139,Endosperm transfer cell specific PR60,20.10416667,14.62713333,48.0487,72.97086667,31.9674,630.5415,65.3046,64.89236667,87.7038,104.0356667,141.0893333,84.00083333,573.6065,1419.613333,1201.775,1068.98,757.993,0,312.6477,318.9993333,221.3743333,0.62604,1.576663333,70.00913333,304.6869751,1419.613333,0.958333333
Zm00001eb129360,3,48156256,Tubulin beta chain,300.4723333,347.0253333,328.751,266.8603333,184.0103333,210.289,114.797,43.81486667,38.89736667,24.8632,18.69453333,13.7155,217.984,172.2606667,140.1365,57.4753,54.410575,366.7856667,51.11413333,48.92726667,38.23973333,279.2983333,217.551,213.183,156.2315406,366.7856667,1
Zm00001eb129740,3,50286699,,93.32486667,109.8288333,114.2076667,138.16,137.9963333,108.8555,104.22,108.7595667,127.4593333,161.7733333,182.5503333,110.5163,176.2705,200.918,128.097,81.8726,156.25875,189.9236667,205.633,219.9873333,154.6023333,132.198,283.083,177.476,150.1655104,283.083,1
Zm00001eb136620,3,128495619,Putative Nucleic acid-binding,238.772,131.255,95.83343333,75.43316667,79.55763333,203.5585,173.739,203.4833333,87.3064,59.3347,45.32483333,48.79243333,68.0146,104.2648667,119.8665,84.8502,81.311325,67.27513333,55.1019,50.65086667,53.9575,50.07003333,32.8958,42.1425,93.8663191,238.772,1
Zm00001eb133480,3,99949226,Heat shock 70 kDa protein 6 chloroplastic,45.4665,55.36716667,54.85926667,45.64413333,39.38523333,101.69925,183.391,167.2046667,184.0323333,114.5073333,103.9103333,90.8356,27.57075,65.0217,133.6695,174.702,147.491,24.97656667,104.8744667,90.7085,80.38356667,28.0573,21.7339,24.83386667,87.93024722,184.0323333,1
Zm00001eb124070,3,16582524,,380.8863333,240.5163333,123.9723333,100.5187667,63.11296667,137.782,93.043,65.71263333,32.65976667,20.40616667,17.4303,15.2845,69.37405,90.12636667,95.0072,45.1496,34.13805,111.1493333,27.06633333,25.2672,22.7779,64.43243333,63.5804,56.52396667,83.16324722,380.8863333,1
Zm00001eb129770,3,50429527,,38.4731,80.00036667,67.17943333,84.51503333,69.76993333,61.88185,65.9065,31.58416667,60.63426667,79.93323333,86.1621,42.13253333,110.103,108.7946667,95.5945,51.6179,85.7297,90.00073333,134.2223333,124.088,81.73016667,70.93743333,140.7546667,123.5703333,82.72149792,140.7546667,1
Zm00001eb136630,3,128498957,Translocon-associated protein subunit beta,48.5082,49.29663333,46.91033333,45.77793333,48.61046667,86.9571,130.222,123.6991667,126.1786667,109.0606667,87.8321,99.31673333,60.68485,76.09176667,110.0825,89.7757,103.63705,49.9081,94.17056667,78.55716667,82.47396667,49.3408,56.17556667,59.59516667,79.70263334,130.222,1
Zm00001eb124750,3,19703810,KOW domain-containing protein,277.4556667,110.7245333,59.13943333,50.81083333,63.5121,191.2685,96.4952,284.9776667,68.406,46.85593333,35.40506667,42.7784,42.7666,68.96263333,70.021,59.5321,62.030775,42.57856667,38.11563333,39.5336,39.2283,28.88716667,25.78213333,25.4537,77.9467309,284.9776667,1
