Population,Comparison,theta_summary_mode,chr,chr_num,nc_id,window_id,window_start_bp,window_end_bp,window_mid_bp,mean_fst,Tajima_Gen0,Tajima_Gen14,deltaD,pi_Gen0,pi_Gen14,pi_ratio,log_pi_ratio,fst_outlier,deltaD_outlier,pi_outlier,all_three_signals,gene_count,GeneIDs,GeneNames,GeneBiotypes,snp_count,n_theta_sites_Gen0,n_theta_sites_Gen14,support_windows_Gen0,support_windows_Gen14,mean_window_nSites_Gen0,mean_window_nSites_Gen14,nChr_Gen0,nChr_Gen14
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,1,1162,1250000,625581,0.04203998637362623,1.4648507810209976,1.0014916209070026,-0.46335916011399503,0.24620165169102368,0.22013813299285823,0.8941375148413933,-0.1614313655783325,No,No,No,No,26,Zm00001eb000010;Zm00001eb000020;Zm00001eb000050;Zm00001eb000060;Zm00001eb000070;Zm00001eb000080;Zm00001eb000100;Zm00001eb000110;Zm00001eb000120;Zm00001eb000140;Zm00001eb000150;Zm00001eb000170;Zm00001eb000180;Zm00001eb000200;Zm00001eb000190;Zm00001eb000210;Zm00001eb000220;Zm00001eb000230;Zm00001eb000240;Zm00001eb000250;Zm00001eb000270;Zm00001eb000290;Zm00001eb000300;Zm00001eb000310;Zm00001eb000320;Zm00001eb000330,Zm00001eb000010;Zm00001eb000020;Zm00001eb000050;Zm00001eb000060;Zm00001eb000070;Zm00001eb000080;Zm00001eb000100;Zm00001eb000110;Zm00001eb000120;Zm00001eb000140;Zm00001eb000150;Zm00001eb000170;Zm00001eb000180;Zm00001eb000200;Zm00001eb000190;Zm00001eb000210;Zm00001eb000220;Zm00001eb000230;Zm00001eb000240;Zm00001eb000250;Zm00001eb000270;Zm00001eb000290;Zm00001eb000300;Zm00001eb000310;Zm00001eb000320;Zm00001eb000330,protein_coding,11063,20657,21483,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,2,1250001,1750000,1500000,0.04302880472097292,1.6890360401897886,0.6607220043704061,-1.0283140358193825,0.260290267805949,0.2057804992448801,0.7905808426087336,-0.33901509875872465,No,No,No,No,4,Zm00001eb000340;Zm00001eb000360;Zm00001eb000370;Zm00001eb000380,Zm00001eb000340;Zm00001eb000360;Zm00001eb000370;Zm00001eb000380,protein_coding,4700,8472,9128,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,3,1750001,3750000,2750000,0.11036160464181292,2.827493171028841,1.9668667990124329,-0.860626372016408,0.3136957679722885,0.25660516710685577,0.818006467749109,-0.2898158446877265,No,No,No,No,70,Zm00001eb000390;Zm00001eb000400;Zm00001eb000410;Zm00001eb000420;Zm00001eb000430;Zm00001eb000440;Zm00001eb000450;Zm00001eb000460;Zm00001eb000470;Zm00001eb000480;Zm00001eb000490;Zm00001eb000500;Zm00001eb000510;Zm00001eb000520;Zm00001eb000530;Zm00001eb000540;Zm00001eb000550;Zm00001eb000560;Zm00001eb000570;Zm00001eb000580;Zm00001eb000590;Zm00001eb000600;Zm00001eb000620;Zm00001eb000630;Zm00001eb000640;Zm00001eb000650;Zm00001eb000660;Zm00001eb000670;Zm00001eb000680;Zm00001eb000690;Zm00001eb000700;Zm00001eb000710;Zm00001eb000720;Zm00001eb000740;Zm00001eb000750;Zm00001eb000760;Zm00001eb000770;Zm00001eb000780;Zm00001eb000790;Zm00001eb000800;Zm00001eb000810;Zm00001eb000820;Zm00001eb000830;Zm00001eb000840;Zm00001eb000850;Zm00001eb000860;Zm00001eb000870;Zm00001eb000880;Zm00001eb000890;Zm00001eb000900;Zm00001eb000910;Zm00001eb000920;Zm00001eb000930;Zm00001eb000940;Zm00001eb000960;Zm00001eb000970;Zm00001eb000980;Zm00001eb000990;Zm00001eb001000;Zm00001eb001010;Zm00001eb001020;Zm00001eb001030;Zm00001eb001040;Zm00001eb001050;Zm00001eb001060;Zm00001eb001070;Zm00001eb001090;Zm00001eb001100;Zm00001eb001110;Zm00001eb001120,Zm00001eb000390;Zm00001eb000400;Zm00001eb000410;Zm00001eb000420;Zm00001eb000430;Zm00001eb000440;Zm00001eb000450;Zm00001eb000460;Zm00001eb000470;Zm00001eb000480;Zm00001eb000490;Zm00001eb000500;Zm00001eb000510;Zm00001eb000520;Zm00001eb000530;Zm00001eb000540;Zm00001eb000550;Zm00001eb000560;Zm00001eb000570;Zm00001eb000580;Zm00001eb000590;Zm00001eb000600;Zm00001eb000620;Zm00001eb000630;Zm00001eb000640;Zm00001eb000650;Zm00001eb000660;Zm00001eb000670;Zm00001eb000680;Zm00001eb000690;Zm00001eb000700;Zm00001eb000710;Zm00001eb000720;Zm00001eb000740;Zm00001eb000750;Zm00001eb000760;Zm00001eb000770;Zm00001eb000780;Zm00001eb000790;Zm00001eb000800;Zm00001eb000810;Zm00001eb000820;Zm00001eb000830;Zm00001eb000840;Zm00001eb000850;Zm00001eb000860;Zm00001eb000870;Zm00001eb000880;Zm00001eb000890;Zm00001eb000900;Zm00001eb000910;Zm00001eb000920;Zm00001eb000930;Zm00001eb000940;Zm00001eb000960;Zm00001eb000970;Zm00001eb000980;Zm00001eb000990;Zm00001eb001000;Zm00001eb001010;Zm00001eb001020;Zm00001eb001030;Zm00001eb001040;Zm00001eb001050;Zm00001eb001060;Zm00001eb001070;Zm00001eb001090;Zm00001eb001100;Zm00001eb001110;Zm00001eb001120,protein_coding,18291,36798,32019,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,4,3750001,8250000,6000000,0.08327680418047405,2.8611818228745034,2.247076940888792,-0.6141048819857113,0.31566822953424023,0.2761878650067038,0.8749308266283603,-0.19275913511398182,No,No,No,No,173,Zm00001eb001130;Zm00001eb001140;Zm00001eb001150;Zm00001eb001160;Zm00001eb001170;Zm00001eb001180;Zm00001eb001190;Zm00001eb001200;Zm00001eb001210;Zm00001eb001220;Zm00001eb001230;Zm00001eb001240;Zm00001eb001250;Zm00001eb001260;Zm00001eb001270;Zm00001eb001280;Zm00001eb001290;Zm00001eb001300;Zm00001eb001310;Zm00001eb001320;Zm00001eb001330;Zm00001eb001340;Zm00001eb001350;Zm00001eb001360;Zm00001eb001370;Zm00001eb001400;Zm00001eb001410;Zm00001eb001420;Zm00001eb001430;Zm00001eb001440;Zm00001eb001460;Zm00001eb001470;Zm00001eb001480;Zm00001eb001490;Zm00001eb001500;Zm00001eb001510;Zm00001eb001520;Zm00001eb001530;Zm00001eb001550;Zm00001eb001560;Zm00001eb001570;Zm00001eb001580;Zm00001eb001590;Zm00001eb001600;Zm00001eb001610;Zm00001eb001620;Zm00001eb001630;Zm00001eb001640;Zm00001eb001650;Zm00001eb001660;Zm00001eb001670;Zm00001eb001680;Zm00001eb001690;Zm00001eb001700;Zm00001eb001710;Zm00001eb001720;Zm00001eb001740;Zm00001eb001760;Zm00001eb001770;Zm00001eb001780;Zm00001eb001790;Zm00001eb001800;Zm00001eb001810;Zm00001eb001820;Zm00001eb001830;Zm00001eb001840;Zm00001eb001860;Zm00001eb001870;Zm00001eb001880;Zm00001eb001890;Zm00001eb001900;Zm00001eb001910;Zm00001eb001920;Zm00001eb001940;Zm00001eb001950;Zm00001eb001960;Zm00001eb001970;Zm00001eb001980;Zm00001eb001990;Zm00001eb002000;Zm00001eb002010;Zm00001eb002020;Zm00001eb002030;Zm00001eb002040;Zm00001eb002050;Zm00001eb002060;Zm00001eb002070;Zm00001eb002080;Zm00001eb002090;Zm00001eb002100;Zm00001eb002140;Zm00001eb002150;Zm00001eb002170;Zm00001eb002180;Zm00001eb002190;Zm00001eb002200;Zm00001eb002210;Zm00001eb002220;Zm00001eb002240;Zm00001eb002250;Zm00001eb002260;Zm00001eb002270;Zm00001eb002280;Zm00001eb002290;Zm00001eb002300;Zm00001eb002310;Zm00001eb002320;Zm00001eb002330;Zm00001eb002340;Zm00001eb002350;Zm00001eb002360;Zm00001eb002370;Zm00001eb002380;Zm00001eb002390;Zm00001eb002410;Zm00001eb002420;Zm00001eb002430;Zm00001eb002440;Zm00001eb002450;Zm00001eb002460;Zm00001eb002470;Zm00001eb002480;Zm00001eb002490;Zm00001eb002510;Zm00001eb002520;Zm00001eb002530;Zm00001eb002540;Zm00001eb002550;Zm00001eb002560;Zm00001eb002570;Zm00001eb002590;Zm00001eb002600;Zm00001eb002610;Zm00001eb002620;Zm00001eb002640;Zm00001eb002650;Zm00001eb002660;Zm00001eb002680;Zm00001eb002690;Zm00001eb002700;Zm00001eb002710;Zm00001eb002730;Zm00001eb002720;Zm00001eb002740;Zm00001eb002750;Zm00001eb002760;Zm00001eb002770;Zm00001eb002780;Zm00001eb002790;Zm00001eb002800;Zm00001eb002810;Zm00001eb002820;Zm00001eb002830;Zm00001eb002840;Zm00001eb002850;Zm00001eb002860;Zm00001eb002870;Zm00001eb002880;Zm00001eb002890;Zm00001eb002900;Zm00001eb002910;Zm00001eb002920;Zm00001eb002930;Zm00001eb002940;Zm00001eb002950;Zm00001eb002960;Zm00001eb002970;Zm00001eb002980;Zm00001eb002990;Zm00001eb003000;Zm00001eb003010;Zm00001eb003020;Zm00001eb003030,Zm00001eb001130;Zm00001eb001140;Zm00001eb001150;Zm00001eb001160;Zm00001eb001170;Zm00001eb001180;Zm00001eb001190;Zm00001eb001200;Zm00001eb001210;Zm00001eb001220;Zm00001eb001230;Zm00001eb001240;Zm00001eb001250;Zm00001eb001260;Zm00001eb001270;Zm00001eb001280;Zm00001eb001290;Zm00001eb001300;Zm00001eb001310;Zm00001eb001320;Zm00001eb001330;Zm00001eb001340;Zm00001eb001350;Zm00001eb001360;Zm00001eb001370;Zm00001eb001400;Zm00001eb001410;Zm00001eb001420;Zm00001eb001430;Zm00001eb001440;Zm00001eb001460;Zm00001eb001470;Zm00001eb001480;Zm00001eb001490;Zm00001eb001500;Zm00001eb001510;Zm00001eb001520;Zm00001eb001530;Zm00001eb001550;Zm00001eb001560;Zm00001eb001570;Zm00001eb001580;Zm00001eb001590;Zm00001eb001600;Zm00001eb001610;Zm00001eb001620;Zm00001eb001630;Zm00001eb001640;Zm00001eb001650;Zm00001eb001660;Zm00001eb001670;Zm00001eb001680;Zm00001eb001690;Zm00001eb001700;Zm00001eb001710;Zm00001eb001720;Zm00001eb001740;Zm00001eb001760;Zm00001eb001770;Zm00001eb001780;Zm00001eb001790;Zm00001eb001800;Zm00001eb001810;Zm00001eb001820;Zm00001eb001830;Zm00001eb001840;Zm00001eb001860;Zm00001eb001870;Zm00001eb001880;Zm00001eb001890;Zm00001eb001900;Zm00001eb001910;Zm00001eb001920;Zm00001eb001940;Zm00001eb001950;Zm00001eb001960;Zm00001eb001970;Zm00001eb001980;Zm00001eb001990;Zm00001eb002000;Zm00001eb002010;Zm00001eb002020;Zm00001eb002030;Zm00001eb002040;Zm00001eb002050;Zm00001eb002060;Zm00001eb002070;Zm00001eb002080;Zm00001eb002090;Zm00001eb002100;Zm00001eb002140;Zm00001eb002150;Zm00001eb002170;Zm00001eb002180;Zm00001eb002190;Zm00001eb002200;Zm00001eb002210;Zm00001eb002220;Zm00001eb002240;Zm00001eb002250;Zm00001eb002260;Zm00001eb002270;Zm00001eb002280;Zm00001eb002290;Zm00001eb002300;Zm00001eb002310;Zm00001eb002320;Zm00001eb002330;Zm00001eb002340;Zm00001eb002350;Zm00001eb002360;Zm00001eb002370;Zm00001eb002380;Zm00001eb002390;Zm00001eb002410;Zm00001eb002420;Zm00001eb002430;Zm00001eb002440;Zm00001eb002450;Zm00001eb002460;Zm00001eb002470;Zm00001eb002480;Zm00001eb002490;Zm00001eb002510;Zm00001eb002520;Zm00001eb002530;Zm00001eb002540;Zm00001eb002550;Zm00001eb002560;Zm00001eb002570;Zm00001eb002590;Zm00001eb002600;Zm00001eb002610;Zm00001eb002620;Zm00001eb002640;Zm00001eb002650;Zm00001eb002660;Zm00001eb002680;Zm00001eb002690;Zm00001eb002700;Zm00001eb002710;Zm00001eb002730;Zm00001eb002720;Zm00001eb002740;Zm00001eb002750;Zm00001eb002760;Zm00001eb002770;Zm00001eb002780;Zm00001eb002790;Zm00001eb002800;Zm00001eb002810;Zm00001eb002820;Zm00001eb002830;Zm00001eb002840;Zm00001eb002850;Zm00001eb002860;Zm00001eb002870;Zm00001eb002880;Zm00001eb002890;Zm00001eb002900;Zm00001eb002910;Zm00001eb002920;Zm00001eb002930;Zm00001eb002940;Zm00001eb002950;Zm00001eb002960;Zm00001eb002970;Zm00001eb002980;Zm00001eb002990;Zm00001eb003000;Zm00001eb003010;Zm00001eb003020;Zm00001eb003030,protein_coding,38401,78835,68759,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,5,8250001,9750000,9000000,0.1161736192676787,2.8584682230544165,2.2555004062272572,-0.6029678168271593,0.3108283714884068,0.27594569566341537,0.887775122785751,-0.17173381282548375,No,No,No,No,54,Zm00001eb003040;Zm00001eb003050;Zm00001eb003060;Zm00001eb003070;Zm00001eb003080;Zm00001eb003090;Zm00001eb003100;Zm00001eb003110;Zm00001eb003120;Zm00001eb003130;Zm00001eb003140;Zm00001eb003150;Zm00001eb003160;Zm00001eb003170;Zm00001eb003180;Zm00001eb003190;Zm00001eb003200;Zm00001eb003210;Zm00001eb003230;Zm00001eb003220;Zm00001eb003240;Zm00001eb003270;Zm00001eb003280;Zm00001eb003290;Zm00001eb003300;Zm00001eb003310;Zm00001eb003330;Zm00001eb003340;Zm00001eb003350;Zm00001eb003360;Zm00001eb003370;Zm00001eb003380;Zm00001eb003390;Zm00001eb003400;Zm00001eb003420;Zm00001eb003440;Zm00001eb003450;Zm00001eb003460;Zm00001eb003470;Zm00001eb003480;Zm00001eb003490;Zm00001eb003510;Zm00001eb003520;Zm00001eb003530;Zm00001eb003540;Zm00001eb003550;Zm00001eb003560;Zm00001eb003570;Zm00001eb003580;Zm00001eb003590;Zm00001eb003600;Zm00001eb003610;Zm00001eb003620;Zm00001eb003630,Zm00001eb003040;Zm00001eb003050;Zm00001eb003060;Zm00001eb003070;Zm00001eb003080;Zm00001eb003090;Zm00001eb003100;Zm00001eb003110;Zm00001eb003120;Zm00001eb003130;Zm00001eb003140;Zm00001eb003150;Zm00001eb003160;Zm00001eb003170;Zm00001eb003180;Zm00001eb003190;Zm00001eb003200;Zm00001eb003210;Zm00001eb003230;Zm00001eb003220;Zm00001eb003240;Zm00001eb003270;Zm00001eb003280;Zm00001eb003290;Zm00001eb003300;Zm00001eb003310;Zm00001eb003330;Zm00001eb003340;Zm00001eb003350;Zm00001eb003360;Zm00001eb003370;Zm00001eb003380;Zm00001eb003390;Zm00001eb003400;Zm00001eb003420;Zm00001eb003440;Zm00001eb003450;Zm00001eb003460;Zm00001eb003470;Zm00001eb003480;Zm00001eb003490;Zm00001eb003510;Zm00001eb003520;Zm00001eb003530;Zm00001eb003540;Zm00001eb003550;Zm00001eb003560;Zm00001eb003570;Zm00001eb003580;Zm00001eb003590;Zm00001eb003600;Zm00001eb003610;Zm00001eb003620;Zm00001eb003630,protein_coding,10643,23696,20662,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,6,9750001,10250000,10000000,0.1722600349615741,3.2316119076085865,2.6000349990822733,-0.6315769085263132,0.3397298462654385,0.27800187564756457,0.8183027741117438,-0.2892933521005143,Yes,No,No,No,12,Zm00001eb003650;Zm00001eb003660;Zm00001eb003670;Zm00001eb003680;Zm00001eb003690;Zm00001eb003700;Zm00001eb003710;Zm00001eb003720;Zm00001eb003730;Zm00001eb003740;Zm00001eb003750;Zm00001eb003760,Zm00001eb003650;Zm00001eb003660;Zm00001eb003670;Zm00001eb003680;Zm00001eb003690;Zm00001eb003700;Zm00001eb003710;Zm00001eb003720;Zm00001eb003730;Zm00001eb003740;Zm00001eb003750;Zm00001eb003760,protein_coding,1818,6875,3936,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,7,10250001,13250000,11750000,0.06300490075465005,2.761348759572799,2.205463420446839,-0.5558853391259597,0.31258657240121174,0.28151071635862196,0.9005848018234666,-0.15106596377536805,No,No,No,No,97,Zm00001eb003770;Zm00001eb003780;Zm00001eb003790;Zm00001eb003800;Zm00001eb003810;Zm00001eb003820;Zm00001eb003830;Zm00001eb003840;Zm00001eb003850;Zm00001eb003860;Zm00001eb003870;Zm00001eb003880;Zm00001eb003890;Zm00001eb003900;Zm00001eb003910;Zm00001eb003920;Zm00001eb003930;Zm00001eb003940;Zm00001eb003950;Zm00001eb003960;Zm00001eb003970;Zm00001eb004000;Zm00001eb004020;Zm00001eb004030;Zm00001eb004040;Zm00001eb004050;Zm00001eb004060;Zm00001eb004070;Zm00001eb004080;Zm00001eb004090;Zm00001eb004100;Zm00001eb004110;Zm00001eb004120;Zm00001eb004130;Zm00001eb004140;Zm00001eb004150;Zm00001eb004160;Zm00001eb004170;Zm00001eb004180;Zm00001eb004190;Zm00001eb004200;Zm00001eb004210;Zm00001eb004220;Zm00001eb004230;Zm00001eb004240;Zm00001eb004250;Zm00001eb004260;Zm00001eb004280;Zm00001eb004290;Zm00001eb004300;Zm00001eb004310;Zm00001eb004320;Zm00001eb004330;Zm00001eb004340;Zm00001eb004350;Zm00001eb004360;Zm00001eb004370;Zm00001eb004380;Zm00001eb004390;Zm00001eb004400;Zm00001eb004410;Zm00001eb004420;Zm00001eb004430;Zm00001eb004440;Zm00001eb004450;Zm00001eb004460;Zm00001eb004470;Zm00001eb004480;Zm00001eb004490;Zm00001eb004500;Zm00001eb004510;Zm00001eb004530;Zm00001eb004540;Zm00001eb004550;Zm00001eb004560;Zm00001eb004570;Zm00001eb004590;Zm00001eb004600;Zm00001eb004610;Zm00001eb004630;Zm00001eb004640;Zm00001eb004650;Zm00001eb004660;Zm00001eb004670;Zm00001eb004690;Zm00001eb004710;Zm00001eb004720;Zm00001eb004730;Zm00001eb004740;Zm00001eb004750;Zm00001eb004760;Zm00001eb004770;Zm00001eb004780;Zm00001eb004790;Zm00001eb004800;Zm00001eb004810;Zm00001eb004820,Zm00001eb003770;Zm00001eb003780;Zm00001eb003790;Zm00001eb003800;Zm00001eb003810;Zm00001eb003820;Zm00001eb003830;Zm00001eb003840;Zm00001eb003850;Zm00001eb003860;Zm00001eb003870;Zm00001eb003880;Zm00001eb003890;Zm00001eb003900;Zm00001eb003910;Zm00001eb003920;Zm00001eb003930;Zm00001eb003940;Zm00001eb003950;Zm00001eb003960;Zm00001eb003970;Zm00001eb004000;Zm00001eb004020;Zm00001eb004030;Zm00001eb004040;Zm00001eb004050;Zm00001eb004060;Zm00001eb004070;Zm00001eb004080;Zm00001eb004090;Zm00001eb004100;Zm00001eb004110;Zm00001eb004120;Zm00001eb004130;Zm00001eb004140;Zm00001eb004150;Zm00001eb004160;Zm00001eb004170;Zm00001eb004180;Zm00001eb004190;Zm00001eb004200;Zm00001eb004210;Zm00001eb004220;Zm00001eb004230;Zm00001eb004240;Zm00001eb004250;Zm00001eb004260;Zm00001eb004280;Zm00001eb004290;Zm00001eb004300;Zm00001eb004310;Zm00001eb004320;Zm00001eb004330;Zm00001eb004340;Zm00001eb004350;Zm00001eb004360;Zm00001eb004370;Zm00001eb004380;Zm00001eb004390;Zm00001eb004400;Zm00001eb004410;Zm00001eb004420;Zm00001eb004430;Zm00001eb004440;Zm00001eb004450;Zm00001eb004460;Zm00001eb004470;Zm00001eb004480;Zm00001eb004490;Zm00001eb004500;Zm00001eb004510;Zm00001eb004530;Zm00001eb004540;Zm00001eb004550;Zm00001eb004560;Zm00001eb004570;Zm00001eb004590;Zm00001eb004600;Zm00001eb004610;Zm00001eb004630;Zm00001eb004640;Zm00001eb004650;Zm00001eb004660;Zm00001eb004670;Zm00001eb004690;Zm00001eb004710;Zm00001eb004720;Zm00001eb004730;Zm00001eb004740;Zm00001eb004750;Zm00001eb004760;Zm00001eb004770;Zm00001eb004780;Zm00001eb004790;Zm00001eb004800;Zm00001eb004810;Zm00001eb004820,protein_coding,26705,47611,47664,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,8,13250001,13750000,13500000,0.06040976791788558,2.9005213259755354,2.2971240263405353,-0.6033972996350001,0.31961336008359587,0.2869294024507436,0.8977390756622199,-0.15563190264636512,No,No,No,No,16,Zm00001eb004830;Zm00001eb004840;Zm00001eb004850;Zm00001eb004860;Zm00001eb004880;Zm00001eb004890;Zm00001eb004900;Zm00001eb004920;Zm00001eb004940;Zm00001eb004950;Zm00001eb004960;Zm00001eb004970;Zm00001eb004980;Zm00001eb004990;Zm00001eb005000;Zm00001eb005010,Zm00001eb004830;Zm00001eb004840;Zm00001eb004850;Zm00001eb004860;Zm00001eb004880;Zm00001eb004890;Zm00001eb004900;Zm00001eb004920;Zm00001eb004940;Zm00001eb004950;Zm00001eb004960;Zm00001eb004970;Zm00001eb004980;Zm00001eb004990;Zm00001eb005000;Zm00001eb005010,protein_coding,4249,7378,7745,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,9,13750001,15750000,14750000,0.06367444163927954,2.612325974673042,2.2390298205927706,-0.3732961540802715,0.3041822846822004,0.2809631952967223,0.9236671872271043,-0.11455497682739443,No,No,No,No,56,Zm00001eb005020;Zm00001eb005030;Zm00001eb005040;Zm00001eb005060;Zm00001eb005070;Zm00001eb005080;Zm00001eb005100;Zm00001eb005110;Zm00001eb005120;Zm00001eb005130;Zm00001eb005140;Zm00001eb005150;Zm00001eb005160;Zm00001eb005170;Zm00001eb005180;Zm00001eb005190;Zm00001eb005200;Zm00001eb005210;Zm00001eb005220;Zm00001eb005230;Zm00001eb005240;Zm00001eb005250;Zm00001eb005260;Zm00001eb005270;Zm00001eb005280;Zm00001eb005290;Zm00001eb005300;Zm00001eb005310;Zm00001eb005320;Zm00001eb005330;Zm00001eb005340;Zm00001eb005350;Zm00001eb005360;Zm00001eb005370;Zm00001eb005380;Zm00001eb005390;Zm00001eb005400;Zm00001eb005410;Zm00001eb005420;Zm00001eb005430;Zm00001eb005440;Zm00001eb005450;Zm00001eb005460;Zm00001eb005470;Zm00001eb005480;Zm00001eb005490;Zm00001eb005500;Zm00001eb005510;Zm00001eb005530;Zm00001eb005540;Zm00001eb005550;Zm00001eb005560;Zm00001eb005570;Zm00001eb005580;Zm00001eb005590;Zm00001eb005600,Zm00001eb005020;Zm00001eb005030;Zm00001eb005040;Zm00001eb005060;Zm00001eb005070;Zm00001eb005080;Zm00001eb005100;Zm00001eb005110;Zm00001eb005120;Zm00001eb005130;Zm00001eb005140;Zm00001eb005150;Zm00001eb005160;Zm00001eb005170;Zm00001eb005180;Zm00001eb005190;Zm00001eb005200;Zm00001eb005210;Zm00001eb005220;Zm00001eb005230;Zm00001eb005240;Zm00001eb005250;Zm00001eb005260;Zm00001eb005270;Zm00001eb005280;Zm00001eb005290;Zm00001eb005300;Zm00001eb005310;Zm00001eb005320;Zm00001eb005330;Zm00001eb005340;Zm00001eb005350;Zm00001eb005360;Zm00001eb005370;Zm00001eb005380;Zm00001eb005390;Zm00001eb005400;Zm00001eb005410;Zm00001eb005420;Zm00001eb005430;Zm00001eb005440;Zm00001eb005450;Zm00001eb005460;Zm00001eb005470;Zm00001eb005480;Zm00001eb005490;Zm00001eb005500;Zm00001eb005510;Zm00001eb005530;Zm00001eb005540;Zm00001eb005550;Zm00001eb005560;Zm00001eb005570;Zm00001eb005580;Zm00001eb005590;Zm00001eb005600,protein_coding,16900,33440,31849,NA,NA,NA,NA,192,192
Indian Chief,IC01_vs_IC14,raw,chr1,1,NC_050096.1,10,15750001,16750000,16250000,0.12882072967066135,2.7345501933989698,2.898043829885644,0.16349363648667437,0.3102731362561085,0.309914697122297,0.9988447625916426,-0.0016676187134175109,No,No,No,No,24,Zm00001eb005610;Zm00001eb005630;Zm00001eb005640;Zm00001eb005650;Zm00001eb005660;Zm00001eb005670;Zm00001eb005680;Zm00001eb005690;Zm00001eb005700;Zm00001eb005710;Zm00001eb005740;Zm00001eb005760;Zm00001eb005770;Zm00001eb005780;Zm00001eb005800;Zm00001eb005810;Zm00001eb005820;Zm00001eb005830;Zm00001eb005840;Zm00001eb005850;Zm00001eb005860;Zm00001eb005870;Zm00001eb005890;Zm00001eb005900,Zm00001eb005610;Zm00001eb005630;Zm00001eb005640;Zm00001eb005650;Zm00001eb005660;Zm00001eb005670;Zm00001eb005680;Zm00001eb005690;Zm00001eb005700;Zm00001eb005710;Zm00001eb005740;Zm00001eb005760;Zm00001eb005770;Zm00001eb005780;Zm00001eb005800;Zm00001eb005810;Zm00001eb005820;Zm00001eb005830;Zm00001eb005840;Zm00001eb005850;Zm00001eb005860;Zm00001eb005870;Zm00001eb005890;Zm00001eb005900,protein_coding,10190,17103,18255,NA,NA,NA,NA,192,192
