GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
Zm00001eb183040	Uncharacterized protein			nucleic acid binding(GO:0003676);poly(A)-specific ribonuclease activity(GO:0004535)		CCR4-NOT complex(GO:0030014)
Zm00001eb317420	DNA topoisomerase	DNA TOPOISOMERASE 3-BETA-1 (PTHR11390:SF20)	DNA metabolism protein(PC00009)	"DNA binding(GO:0003677);DNA topoisomerase activity(GO:0003916);DNA topoisomerase type I (single strand cut, ATP-independent) activity(GO:0003917);isomerase activity(GO:0016853)"	DNA topological change(GO:0006265);DNA repair(GO:0006281);DNA recombination(GO:0006310)	nucleus(GO:0005634)
Zm00001eb052870	Transcription regulator NOT2_NOT3_NOT5 family protein	CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 3 (PTHR23326:SF1)	general transcription factor(PC00259)		nuclear-transcribed mRNA poly(A) tail shortening(GO:0000289);regulation of DNA-templated transcription(GO:0006355)	P-body(GO:0000932);nucleus(GO:0005634);cytoplasm(GO:0005737);CCR4-NOT core complex(GO:0030015)
Zm00001eb272970	aminodeoxychorismate synthase	AMINODEOXYCHORISMATE SYNTHASE (PTHR11236:SF18)		catalytic activity(GO:0003824);transferase activity(GO:0016740);4-amino-4-deoxychorismate synthase activity(GO:0046820)	4-aminobenzoate biosynthetic process(GO:0008153);tetrahydrofolate biosynthetic process(GO:0046654);folic acid biosynthetic process(GO:0046656)	cytoplasm(GO:0005737);chloroplast(GO:0009507)
Zm00001eb397480	Phosphoinositide binding	NITRIC OXIDE SYNTHASE-INTERACTING PROTEIN (PTHR13063:SF10)		zinc ion binding(GO:0008270);ubiquitin protein ligase activity(GO:0061630)		nucleus(GO:0005634)
Zm00001eb057160	PHD finger protein ING	INHIBITOR OF GROWTH PROTEIN 5 (PTHR10333:SF42)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	chromatin organization(GO:0006325)	nucleus(GO:0005634)
Zm00001eb317330	Uncharacterized protein					
Zm00001eb369680	Protein kinase domain-containing protein	SERINE_THREONINE-PROTEIN KINASE PBL23-RELATED (PTHR47985:SF39)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	pollen tube guidance(GO:0010183)	plasma membrane(GO:0005886);pollen tube tip(GO:0090404)
Zm00001eb060540	Actin-7			nucleotide binding(GO:0000166);ATP binding(GO:0005524);hydrolase activity(GO:0016787)		cytoskeleton(GO:0005856)
Zm00001eb057250	Glycosyl hydrolase family protein	"GLYCOSYL HYDROLASE FAMILY 3 N TERMINAL DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR30620:SF83)"	glucosidase(PC00108)			
Zm00001eb102200	O-fucosyltransferase family protein	PROTEIN MANNAN SYNTHESIS-RELATED 1 (PTHR31288:SF5)		transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);mannan synthase activity(GO:0051753)	fucose metabolic process(GO:0006004);cell wall pectin biosynthetic process(GO:0052325)	Golgi apparatus(GO:0005794)
Zm00001eb414960	Thyroid adenoma-associated protein-like protein	DUF2428 DOMAIN-CONTAINING PROTEIN (PTHR14387:SF0)	scaffold/adaptor protein(PC00226)	enzyme regulator activity(GO:0030234)	tRNA nucleoside ribose methylation(GO:0002128);tRNA processing(GO:0008033)	
Zm00001eb066920	Ubiquinol oxidase	"UBIQUINOL OXIDASE 4, CHLOROPLASTIC_CHROMOPLASTIC (PTHR31803:SF10)"	oxidase(PC00175)	alternative oxidase activity(GO:0009916);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);ubiquinol:oxygen oxidoreductase activity(GO:0102721);superoxide-generating NADPH oxidase activity(GO:0106292)	alternative respiration(GO:0010230);carotenoid biosynthetic process(GO:0016117)	mitochondrion(GO:0005739);thylakoid(GO:0009579);membrane(GO:0016020);respiratory chain complex(GO:0098803)
Zm00001eb286790	Uncharacterized protein					
Zm00001eb397770	RING-type E3 ubiquitin transferase	RING-H2 FINGER PROTEIN ATL3 (PTHR22765:SF399)	ubiquitin-protein ligase(PC00234)	zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630)	ubiquitin-dependent protein catabolic process(GO:0006511)	
Zm00001eb287360	NAD(P)-binding domain-containing protein	OS06G0187200 PROTEIN (PTHR43574:SF17)	epimerase/racemase(PC00096)	isomerase activity(GO:0016853);UDP-glucuronate 4-epimerase activity(GO:0050378)	galacturonate biosynthetic process(GO:0033481)	
Zm00001eb065500	Hydroxyproline-rich glycoprotein family protein	HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN-RELATED (PTHR33492:SF12)				
Zm00001eb432790	26S proteasome non-ATPase regulatory subunit 7 homolog A	26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 7 (PTHR10540:SF7)	translation initiation factor(PC00224)	peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237)	proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161);system development(GO:0048731)	proteasome complex(GO:0000502);proteasome regulatory particle(GO:0005838);intracellular protein-containing complex(GO:0140535);catalytic complex(GO:1902494)
Zm00001eb057190	Uncharacterized protein	"MALTASE-GLUCOAMYLASE, INTESTINAL PROTEIN (PTHR36396:SF1)"	amylase(PC00048)			
Zm00001eb340000	MYB-IF25 transcription factor	OS01G0305900 PROTEIN (PTHR47999:SF110)	homeodomain transcription factor(PC00119)	DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb408210	Dirigent protein	DIRIGENT PROTEIN (PTHR21495:SF253)	transporter(PC00227)		phenylpropanoid biosynthetic process(GO:0009699)	apoplast(GO:0048046)
Zm00001eb425490	Inosine triphosphate pyrophosphatase	INOSINE TRIPHOSPHATE PYROPHOSPHATASE (PTHR11067:SF9)	nucleotide phosphatase(PC00173)	hydrolase activity(GO:0016787);nucleoside triphosphate diphosphatase activity(GO:0047429)	nucleoside triphosphate catabolic process(GO:0009143)	cytoplasm(GO:0005737)
Zm00001eb102220	Uncharacterized protein	OS09G0499300 PROTEIN (PTHR35162:SF12)				
Zm00001eb317340	Acyl-[acyl-carrier-protein] hydrolase			fatty acyl-[ACP] hydrolase activity(GO:0016297);hydrolase activity(GO:0016787);thiolester hydrolase activity(GO:0016790)	lipid metabolic process(GO:0006629);fatty acid metabolic process(GO:0006631);fatty acid biosynthetic process(GO:0006633)	chloroplast(GO:0009507)
Zm00001eb397920	DUF3527 domain protein	PUTATIVE (DUF3527)-RELATED (PTHR31390:SF12)				
Zm00001eb372130	Transcription factor MYC_MYB N-terminal domain-containing protein	OS06G0233800 PROTEIN (PTHR46633:SF2)	homeodomain transcription factor(PC00119)			
Zm00001eb217310	Glycine-rich RNA-binding protein RZ1C	RNA-BINDING PROTEIN 4 (PTHR48031:SF2)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723);mRNA binding(GO:0003729);zinc ion binding(GO:0008270)		nucleus(GO:0005634)
Zm00001eb317300	ATPase 4 plasma membrane-type			nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872)		membrane(GO:0016020)
Zm00001eb135940	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR47973:SF17)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		membrane(GO:0016020)
Zm00001eb151250	Indole-3-acetic acid-amido synthetase GH3.6	GH3 DOMAIN-CONTAINING PROTEIN (PTHR31901:SF9)		ligase activity(GO:0016874);acid-amino acid ligase activity(GO:0016881)		cytoplasm(GO:0005737)
Zm00001eb430880	Trypsin family protein	PROTEIN NARROW LEAF 1 (PTHR31521:SF4)				
Zm00001eb177930	Nuclear protein	NUCLEAR PROTEIN (PTHR34044:SF1)				
Zm00001eb352340	EF-hand domain-containing protein	EF-HAND DOMAIN-CONTAINING PROTEIN (PTHR23048:SF51)	actin or actin-binding cytoskeletal protein(PC00041)	calcium ion binding(GO:0005509)		myosin II complex(GO:0016460)
Zm00001eb060520	Glutamate dehydrogenase	GLUTAMATE DEHYDROGENASE 3-RELATED (PTHR11606:SF29)	dehydrogenase(PC00092)	"nucleotide binding(GO:0000166);glutamate dehydrogenase (NAD+) activity(GO:0004352);glutamate dehydrogenase [NAD(P)+] activity(GO:0004353);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor(GO:0016639)"	amino acid metabolic process(GO:0006520);L-glutamate catabolic process(GO:0006538);cellular response to nitrogen starvation(GO:0006995)	mitochondrion(GO:0005739)
Zm00001eb162360	Cysteine-rich receptor-like protein kinase 2	CYSTEINE-RICH RECEPTOR-LIKE PROTEIN KINASE 2 (PTHR47973:SF37)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		membrane(GO:0016020)
Zm00001eb225210	Ubiquitin family protein	UBIQUITIN DOMAIN-CONTAINING PROTEIN 7SL RNA1-RELATED (PTHR10621:SF38)	damaged DNA-binding protein(PC00086)	polyubiquitin modification-dependent protein binding(GO:0031593);ubiquitin binding(GO:0043130);proteasome binding(GO:0070628)	proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161)	nucleoplasm(GO:0005654);cytosol(GO:0005829)
Zm00001eb156600	Splicing factor SF3a60-like protein	SPLICING FACTOR 3A SUBUNIT 3 (PTHR12786:SF2)	RNA splicing factor(PC00148)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380);regulation of embryo sac egg cell differentiation(GO:0045694)"	nucleus(GO:0005634);spliceosomal complex(GO:0005681)
Zm00001eb204990	Secreted protein					
Zm00001eb294530	Polygalacturonase	OS05G0542900 PROTEIN (PTHR31375:SF270)		"catalytic activity(GO:0003824);polygalacturonase activity(GO:0004650);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	carbohydrate metabolic process(GO:0005975);cell wall organization(GO:0071555)	
