population,comparison,metric,metric_description,n_group0,n_group14,mean_group0,mean_group14,median_group0,median_group14,p_value,p_adj,raw_sig,bh_sig,result_summary
Indian Chief,IC0_vs_IC14,Total_FAA,Broad amino acid pool,5,8,7.617733333333334,13.417416666666668,7.2666666666666675,13.235333333333333,0.004310358499535053,0.01293107549860516,**,*,Significantly increased in G14
Indian Chief,IC0_vs_IC14,Proline_fraction,Proline / Total FAA,5,8,0.3203772994368836,0.5193540329081754,0.3917581152636022,0.5443554130999719,0.015719980210024603,0.023579970315036905,*,*,Significantly increased in G14
Indian Chief,IC0_vs_IC14,Asn_fraction,Asn / Total FAA,5,8,0.141234024596671,0.11644688315102769,0.1394954128440367,0.09888935174668217,0.42075184336693233,0.4733458237877989,,,Numerically decreased in G14
Indian Chief,IC0_vs_IC14,Asp_fraction,Asp / Total FAA,5,8,0.11540683287523747,0.07505031708579421,0.11365206047118409,0.07453076168273919,0.015719980210024603,0.023579970315036905,*,*,Significantly decreased in G14
Indian Chief,IC0_vs_IC14,Gln_fraction,Gln / Total FAA,5,8,0.0056001372893700885,0.005983257098134508,0.005590339892665474,0.0034785665101505804,0.5100675275575346,0.5100675275575346,,,Numerically increased in G14
Indian Chief,IC0_vs_IC14,Glu_fraction,Glu / Total FAA,5,8,0.14037733319151213,0.06193806343781985,0.12692660550458715,0.06570323228271288,0.006766500035059647,0.015224625078884205,**,*,Significantly decreased in G14
Indian Chief,IC0_vs_IC14,N_rich_FAA_pool,Nitrogen-rich amino acid pool,5,8,1.5328666666666666,2.4040833333333333,1.5230000000000001,2.173333333333334,0.12428287406255237,0.15979226665185306,,,Numerically increased in G14
Indian Chief,IC0_vs_IC14,FAA_N_pool,Free amino-acid-derived nitrogen pool,5,8,9.511199999999999,16.284666666666666,9.187666666666665,15.335500000000003,0.004310358499535053,0.01293107549860516,**,*,Significantly increased in G14
Indian Chief,IC0_vs_IC14,FAA_N_per_mg,Free amino-acid-derived nitrogen per mg sample,5,8,1.7507429663232472,2.9859254222167078,1.7378940731399746,2.799242657679345,0.004310358499535053,0.01293107549860516,**,*,Significantly increased in G14
Jarvis,JV0_vs_JV14,Total_FAA,Broad amino acid pool,3,8,13.41077777777778,9.892208333333333,13.998333333333333,9.671,0.3583264667488803,0.5374897001233204,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,Proline_fraction,Proline / Total FAA,3,8,0.45499022071428297,0.32207020451562757,0.46402490801018953,0.29667299444699397,0.1845725528398829,0.4152882438897365,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,Asn_fraction,Asn / Total FAA,3,8,0.12673925148329668,0.12595034716166842,0.09429694011191808,0.12105541397068244,0.4749585398895067,0.6106609798579372,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,Asp_fraction,Asp / Total FAA,3,8,0.0749678895624214,0.13680100404622453,0.07445985470327389,0.13315319101529627,0.01890354301112135,0.17013188710009214,*,,Significantly increased in G14
Jarvis,JV0_vs_JV14,Gln_fraction,Gln / Total FAA,3,8,0.025799231169680928,0.007335542739511964,0.004123390516201812,0.006464611725107054,1,1,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,Glu_fraction,Glu / Total FAA,3,8,0.08114494403797805,0.08743506287561269,0.07383203018633057,0.08122072834682374,0.9187074054282888,1,,,Numerically increased in G14
Jarvis,JV0_vs_JV14,N_rich_FAA_pool,Nitrogen-rich amino acid pool,3,8,2.346333333333334,1.8007083333333334,2.5293333333333337,1.7848333333333335,0.1845725528398829,0.4152882438897365,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,FAA_N_pool,Free amino-acid-derived nitrogen pool,3,8,16.21288888888889,12.164791666666666,16.11,11.9475,0.1845725528398829,0.4152882438897365,,,Numerically decreased in G14
Jarvis,JV0_vs_JV14,FAA_N_per_mg,Free amino-acid-derived nitrogen per mg sample,3,8,2.991750395166508,2.278002025788753,2.9451553930530165,2.234698579956937,0.26157223601394936,0.47083002482510883,,,Numerically decreased in G14
