GeneID,GeneSymbol,Family_Subfamily,Protein_Class,GO_MF,GO_BO,GO_CC
Zm00001eb317420,DNA topoisomerase;ZEAMMB73_Zm00001d021015;PTN002604780;orthologs,DNA TOPOISOMERASE 3-BETA-1 (PTHR11390:SF20),DNA metabolism protein(PC00009),"DNA binding(GO:0003677);DNA topoisomerase activity(GO:0003916);DNA topoisomerase type I (single strand cut, ATP-independent) activity(GO:0003917);isomerase activity(GO:0016853)",DNA topological change(GO:0006265);DNA repair(GO:0006281);DNA recombination(GO:0006310),nucleus(GO:0005634)
Zm00001eb400230,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb272970,aminodeoxychorismate synthase;unassigned;PTN002599760;orthologs,AMINODEOXYCHORISMATE SYNTHASE (PTHR11236:SF18),,catalytic activity(GO:0003824);transferase activity(GO:0016740);4-amino-4-deoxychorismate synthase activity(GO:0046820),4-aminobenzoate biosynthetic process(GO:0008153);tetrahydrofolate biosynthetic process(GO:0046654);folic acid biosynthetic process(GO:0046656),cytoplasm(GO:0005737);chloroplast(GO:0009507)
Zm00001eb190570,Uncharacterized protein;100384477;PTN009092498;orthologs,CALCIUM-DEPENDENT PROTEIN KINASE 6 (PTHR24349:SF519),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872),intracellular signal transduction(GO:0035556),nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb046370,Pre-mRNA-processing factor 19;100284255;PTN002890416;orthologs,PRE-MRNA-PROCESSING FACTOR 19 (PTHR43995:SF1),RNA processing factor(PC00147),ubiquitin-protein transferase activity(GO:0004842);transferase activity(GO:0016740);ubiquitin protein ligase activity(GO:0061630),"mRNA splicing, via spliceosome(GO:0000398);immune system process(GO:0002376);DNA repair(GO:0006281);mRNA processing(GO:0006397);DNA damage response(GO:0006974);RNA splicing(GO:0008380);protein ubiquitination(GO:0016567);innate immune response(GO:0045087);protein K63-linked ubiquitination(GO:0070534)",Prp19 complex(GO:0000974);nucleus(GO:0005634);spliceosomal complex(GO:0005681);cytoplasm(GO:0005737);U2-type catalytic step 1 spliceosome(GO:0071006)
Zm00001eb401800,CTC-interacting domain 7;ZEAMMB73_Zm00001d048272;PTN002927811;orthologs,"ATAXIN-2 C-TERMINAL REGION FAMILY PROTEIN, EXPRESSED (PTHR46651:SF2)",,,,
Zm00001eb334190,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb066690,Trypsin family protein;103645777;PTN002834724;orthologs,EXPRESSED PROTEIN (PTHR31521:SF2),,,,
Zm00001eb325840,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb060540,Actin-7;unassigned;;orthologs,,,nucleotide binding(GO:0000166);ATP binding(GO:0005524);hydrolase activity(GO:0016787),,cytoskeleton(GO:0005856)
Zm00001eb100350,Mitochondrial carrier-like protein;100281256;PTN009192541;orthologs,OS09G0444700 PROTEIN (PTHR46080:SF21),secondary carrier transporter(PC00258),,,membrane(GO:0016020)
Zm00001eb143880,Lipoprotein;ZEAMMB73_Zm00001d042420;;orthologs,,,,,
Zm00001eb276320,Serinc-domain containing serine and sphingolipid biosynthesis protein;unassigned;;orthologs,,,,,membrane(GO:0016020)
Zm00001eb336660,NEP-interacting protein 1;107521949;PTN002835472;orthologs,OS01G0170500 PROTEIN (PTHR31589:SF228),,,,
Zm00001eb083650,Uncharacterized protein;ZEAMMB73_Zm00001d003763;PTN002848708;orthologs,PROTEIN GL2-INTERACTING REPRESSOR 1 (PTHR33177:SF74),,,,
Zm00001eb210360,OTU domain-containing protein;100282393;PTN008996003;orthologs,OVARIAN TUMOR DOMAIN-CONTAINING DEUBIQUITINATING ENZYME 9 (PTHR12419:SF111),cysteine protease(PC00081),,,
Zm00001eb253490,RING-H2 finger protein ATL56;ZEAMMB73_Zm00001d017923;PTN002735045;orthologs,RING-H2 FINGER PROTEIN ATL56 (PTHR45676:SF50),,zinc ion binding(GO:0008270);metal ion binding(GO:0046872),protein ubiquitination(GO:0016567),membrane(GO:0016020)
Zm00001eb373640,Uncharacterized protein;unassigned;;orthologs,,,structural molecule activity(GO:0005198),"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum(GO:0006890);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192)",Golgi membrane(GO:0000139);COPI-coated vesicle membrane(GO:0030663);cytoplasmic vesicle(GO:0031410)
Zm00001eb422640,Protein disulfide isomerase;PDIL5-3;PTN002706984;orthologs,PROTEIN DISULFIDE-ISOMERASE 5-2 (PTHR18929:SF218),chaperone(PC00072),protein disulfide isomerase activity(GO:0003756);isomerase activity(GO:0016853),protein folding(GO:0006457);response to endoplasmic reticulum stress(GO:0034976),endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
Zm00001eb126210,Anticodon-binding domain-containing protein;unassigned;;orthologs,,,,,
Zm00001eb031500,F-box domain-containing protein;unassigned;;orthologs,,,,,
Zm00001eb160990,Pentatricopeptide repeat-containing protein;103651554;PTN002769786;orthologs,OS01G0374200 PROTEIN (PTHR24015:SF47),,RNA binding(GO:0003723),RNA modification(GO:0009451),
Zm00001eb257730,Uncharacterized protein;unassigned;PTN009124079;orthologs,PUTRESCINE HYDROXYCINNAMOYLTRANSFERASE 1 (PTHR31642:SF138),acetyltransferase(PC00038),"transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747);hydroxycinnamoyltransferase activity(GO:0050734)",,
Zm00001eb416370,MYB-related transcription factor;MYBR84;PTN002644445;orthologs,MYB-RELATED TRANSCRIPTION FACTOR (PTHR12374:SF41),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355);response to gibberellin(GO:0009739);response to sucrose(GO:0009744),nucleus(GO:0005634)
