#node	identifier	domain_summary_url	annotation	other_names_and_aliases
A0A096QKY4	4577.A0A096QKY4	Os12g0638500-like protein.	http://smart.embl.de/smart/DDvec.cgi?smart=912:	100381607,A0A096QKY4,A0A096QKY4_MAIZE,NM_001320896.1,NP_001307825,NP_001307825.1,Os12g0638500-like protein,Uncharacterized protein LOC100381607,ZEAMMB73_Zm00001d040169,zma:100381607
A0A096QLV7	4577.A0A096QLV7	C-type lectin receptor-like tyrosine-protein kinase.	https://smart.embl.de/smart/DDvec.cgi?smart=555:SIGNAL(1|25)+CLECT(30|167)+TRANS(186|208)+Pfam_Pkinase_Tyr(253|520)+	100384527,A0A096QLV7,A0A096QLV7_MAIZE,NM_001322116.1,NP_001309045,NP_001309045.1,Uncharacterized protein LOC100384527 precursor,ZEAMMB73_Zm00001d040192,zma:100384527
A0A096QRS2	4577.A0A096QRS2	RING-box protein 1a.	https://smart.embl.de/smart/DDvec.cgi?smart=122:RING(56|111)+	103649912,2.3.2.32,A0A096QRS2,A0A096QRS2_MAIZE,EC 2.3.2.32,RING-box protein 1,RING-box protein 1a,XM_008675595.1,XP_008673817,XP_008673817.1,ZEAMMB73_Zm00001d040164,zma:103649912
A0A096RDL4	4577.A0A096RDL4	Pentatricopeptide repeat-containing protein mitochondrial.	https://smart.embl.de/smart/DDvec.cgi?smart=1090:Pfam_PPR(134|164)+Pfam_PPR(206|236)+Pfam_PPR_3(263|323)+Pfam_PPR_long(327|412)+Pfam_PPR(411|441)+Pfam_PPR_1(439|472)+Pfam_PPR_1(474|505)+Pfam_PPR(516|546)+Pfam_PPR_3(709|770)+Pfam_PPR_3(778|839)+Pfam_PPR_1(857|887)+Pfam_PPR(898|927)+	103649988,A0A096RDL4,A0A096RDL4_MAIZE,XM_008675673.1,XP_008673895,XP_008673895.1,ZEAMMB73_Zm00001d040363,zma:103649988
A0A096RSU8	4577.A0A096RSU8	Peptidase family M48 family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=335:Pfam_Peptidase_M48(117|315)+	100191294,A0A096RSU8,A0A096RSU8_MAIZE,NP_001130200,Peptidase family M48 family protein,Putative peptidase M48 family protein,ZEAMMB73_Zm00001d040221,zma:100191294
A0A096S6K6	4577.A0A096S6K6	UBP1-associated protein 2A.	https://smart.embl.de/smart/DDvec.cgi?smart=454:RRM(126|198)+RRM(232|304)+	100283567,A0A096S6K6,A0A096S6K6_MAIZE,Heterogeneous nuclear ribonucleoprotein A1/A3,NP_001149939,RNA binding protein,UBP1-associated protein 2A,XM_008674696.1,XP_008672918.1,ZEAMMB73_Zm00001d040344,zma:100283567
A0A096S8W7	4577.A0A096S8W7	Protein YIF1A.	https://smart.embl.de/smart/DDvec.cgi?smart=267:Pfam_YIF1(37|263)+	100285855,A0A096S8W7,A0A096S8W7_MAIZE,NP_001152217,Protein YIF1A,Protein transport protein YIF1,ZEAMMB73_Zm00001d041267,zma:100285855
A0A096SVP6	4577.A0A096SVP6	Octicosapeptide/Phox/Bem1p family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=659:PB1(70|165)+	103649801,A0A096SVP6,A0A096SVP6_MAIZE,Leucine-rich repeat extensin-like protein 2,Octicosapeptide/Phox/Bem1p family protein,XM_008675513.1,XP_008673735,XP_008673735.1,ZEAMMB73_Zm00001d039916,zma:103649801
A0A096TDW4	4577.A0A096TDW4	Transcriptional corepressor SEUSS.	https://smart.embl.de/smart/DDvec.cgi?smart=916:Pfam_LIM_bind(361|616)+	103650622,A0A096TDW4,A0A096TDW4_MAIZE,Transcriptional corepressor SEUSS,XM_008676193.1,XP_008674415,XP_008674415.1,ZEAMMB73_Zm00001d041803,zma:103650622
A0A096TFN6	4577.A0A096TFN6	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=140:TRANS(10|32)+	103650216,A0A096TFN6,A0A096TFN6_MAIZE,Uncharacterized protein,Uncharacterized protein LOC103650216,XM_008675836.1,XM_008676097.1,XP_008674058,XP_008674058.1,XP_008674319.1,ZEAMMB73_Zm00001d041538,zma:103650216
A0A096TFS4	4577.A0A096TFS4	Serine/threonine-protein kinase-like protein; Belongs to the protein kinase superfamily.	https://smart.embl.de/smart/DDvec.cgi?smart=398:Pfam_Pkinase_Tyr(16|190)+Pfam_Pkinase_Tyr(206|314)+	103649969,A0A096TFS4,A0A096TFS4_MAIZE,Serine/threonine-protein kinase-like protein,XM_008675663.1,XM_008675664.1,XM_008675665.1,XP_008673885.1,XP_008673886.1,XP_008673887,XP_008673887.1,ZEAMMB73_Zm00001d040324,zma:103649969
A0A096TZE2	4577.A0A096TZE2	Ammonium transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=464:Pfam_Ammonium_transp(16|431)+	103625883,A0A096TZE2,A0A096TZE2_MAIZE,Ammonium transporter,Ammonium transporter, Amt family,Putative ammonium transporter 4 member 1,XP_020393456,ZEAMMB73_Zm00001d013270,zma:103625883
A0A0B4J2Z0	4577.A0A0B4J2Z0	Protein kinase family protein.	https://smart.embl.de/smart/DDvec.cgi?smart=599:Pfam_Pkinase_Tyr(38|314)+	100273539,A0A0B4J2Z0,A0A0B4J2Z0_MAIZE,NM_001320083.1,NP_001307012,NP_001307012.1,Protein kinase family protein,Uncharacterized protein LOC100273539,ZEAMMB73_Zm00001d041186,zma:100273539
A0A1D6DW09	4577.A0A1D6DW09	Putative isoaspartyl peptidase/L-asparaginase 2.	https://smart.embl.de/smart/DDvec.cgi?smart=337:Pfam_Asparaginase_2(4|336)+	103645841,3.4.19.5,3.5.1.1,A0A1D6DW09,A0A1D6DW09_MAIZE,EC 3.4.19.5,EC 3.5.1.1,L-asparaginase / beta-aspartyl-peptidase,NM_001326688.1,NP_001313617,NP_001313617.1,Probable isoaspartyl peptidase/L-asparaginase 2,Putative isoaspartyl peptidase/L-asparaginase 2,ZEAMMB73_Zm00001d002052,zma:103645841
A0A1D6EAJ4	4577.A0A1D6EAJ4	Protein EI24-like protein.	https://smart.embl.de/smart/DDvec.cgi?smart=318:Pfam_EI24(24|265)+	A0A1D6EAJ4,A0A1D6EAJ4_MAIZE,Protein EI24-like protein,ZEAMMB73_Zm00001d003652
A0A1D6GD70	4577.A0A1D6GD70	Monothiol glutaredoxin-S14 chloroplastic.	https://smart.embl.de/smart/DDvec.cgi?smart=172:Pfam_Glutaredoxin(83|147)+	100283859,A0A1D6GD70,A0A1D6GD70_MAIZE,Grx_S14 - glutaredoxin subgroup II,Monothiol glutaredoxin,Monothiol glutaredoxin-S14 chloroplastic,NP_001150229,ZEAMMB73_Zm00001d012845,zma:100283859
A0A1D6GGX7	4577.A0A1D6GGX7	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=162:	A0A1D6GGX7,A0A1D6GGX7_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d013260
A0A1D6GGX8	4577.A0A1D6GGX8	Cysteine protease 1; Belongs to the peptidase C1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=341:SIGNAL(1|22)+Inhibitor_I29(38|95)+Pept_C1(125|341)+	100284926,A0A1D6GGX8,A0A1D6GGX8_MAIZE,Cysteine protease 1,Cysteine protease 1 precursor,NP_001151293,ZEAMMB73_Zm00001d013261,zma:100284926
A0A1D6GKB5	4577.A0A1D6GKB5	Defense-related protein.	https://smart.embl.de/smart/DDvec.cgi?smart=301:Pfam_Peptidase_C26(103|215)+	A0A1D6GKB5,A0A1D6GKB5_MAIZE,Defense-related protein,ZEAMMB73_Zm00001d013532
